City,Year,Sport,Discipline,Event,Athlete,Gender,Country,Medal
Montreal,1976,Aquatics,Diving,3m springboard,"KÖHLER, Christa",Women,East Germany,Silver
Montreal,1976,Aquatics,Diving,3m springboard,"KOSENKOV, Aleksandr",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Diving,3m springboard,"BOGGS, Philip George",Men,United States,Gold
Montreal,1976,Aquatics,Diving,3m springboard,"CAGNOTTO, Giorgio Franco",Men,Italy,Silver
Montreal,1976,Aquatics,Diving,10m platform,"WILSON, Deborah Keplar",Women,United States,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"LOUGANIS, Gregory",Men,United States,Silver
Montreal,1976,Aquatics,Diving,10m platform,"VAYTSEKHOVSKAYA, Elena",Women,Soviet Union,Gold
Montreal,1976,Aquatics,Diving,3m springboard,"POTTER-MCINGVALE, Cynthia",Women,United States,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"DIBIASI, Klaus",Men,Italy,Gold
Montreal,1976,Aquatics,Diving,10m platform,"ALEINIK, Vladimir",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"KNAPE-LINDBERGH, Ulrika",Women,Sweden,Silver
Montreal,1976,Aquatics,Diving,3m springboard,"CHANDLER, Jennifer Kay",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"BABASHOFF, Shirley Farber",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,"SHAW, Timothy Andrew",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"PRIEMER, Petra",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,1500m freestyle,"HOLLAND, Stephen",Men,Australia,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"SMIRNOV, Andrei",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"ANKE, Hannelore",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,800m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,800m freestyle,"THÜMER, Petra",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"SMITH, Rebecca",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,"ROCCA, Peter Drake",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"GOODELL, Brian Stuart",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,"MCKEE, Alexander Timothy",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"EVANS, Clayton",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,200m freestyle,"MONTGOMERY, James Paul",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"VOGEL, Matthew Haynes",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,"MATTHES, Roland",Men,East Germany,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,"NABER, John Phillips",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,"ROCCA, Peter Drake",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"KRAUS, Michael",Men,West Germany,Bronze
Montreal,1976,Aquatics,Swimming,200m freestyle,"BRIGITHA, Enith",Women,Netherlands,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"DUNNE, David Michael",Men,United Kingdom,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"NABER, John Phillips",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"HEMPEL, Claudia",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"MAC DONALD, Gary",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BOGDANOV, Andrei",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"HALL, Gary Wayne",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"SMITH, Rebecca",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"KOSHEVAYA, Marina",Women,Soviet Union,Gold
Montreal,1976,Aquatics,Swimming,200m backstroke,"GARAPICK, Nancy Ellen",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,800m freestyle,"WEINBERG, Wendy Elizabeth",Women,United States,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MONTGOMERY, James Paul",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"RASKATOV, Vladimir",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"ENDER, Kornelia",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"JARDIN, Anne Elizabeth",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"YOZAITIS, Arvidas",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"WRIGHT, Camille",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"KRYLOV, Andrei",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"DOWNIE, Gordon Hunter",Men,United Kingdom,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"WILKIE, David Andrew",Men,United Kingdom,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"PEYTON, Kim Marie",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"MONTGOMERY, James Paul",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"TAUBER, Ulrike",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"CLARK, Barbara Lynny",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"AMUNDRUD, Gail",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"ENDER, Kornelia",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"BRUNER, Michael Lee",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,"GIBSON, Cheryl",Women,Canada,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"NABER, John Phillips",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"ENDER, Kornelia",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOGLIOLI, Wendy Lansbach",Women,United States,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH, Graham",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"VOGEL, Matthew Haynes",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"COOK-HOGG, Wendy",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"POLLACK, Andrea",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOTTOM, Joseph Stuart",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"THÜMER, Petra",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"RICHTER, Ulrike",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"FURNISS, Bruce Macfarlane",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,"KOSHEVAYA, Marina",Women,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"GREGG, Steven Garrett",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"ENDER, Kornelia",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MCCLATCHEY, Alan",Men,United Kingdom,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"RUSANOVA, Lyubov",Women,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,400m individual medley,"STRACHAN, Rodney",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,"RASKATOV, Vladimir",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"TAUBER, Ulrike",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,"GOODELL, Brian Stuart",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"PICKELL, Stephen",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"HARRIGAN, Daniel Lee",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"KOTHER-GABRIEL, Rosemarie",Women,East Germany,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"POLLACK, Andrea",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"MONTGOMERY, James Paul",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m breaststroke,"YURCHENYA, Marina",Women,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"TREIBER, Birgit",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"RUSANOVA, Lyubov",Women,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"BOGLIOLI, Wendy Lansbach",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BRUNER, Michael Lee",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"BABASHOFF, Shirley Farber",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,100m backstroke,"TREIBER, Birgit",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"HENCKEN, John Frederick",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"BABASHOFF, Jack, Jr.",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,200m butterfly,"POLLACK, Andrea",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,"BRIGITHA, Enith",Women,Netherlands,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SIERING, Laura Gail",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"KOPLYAKOV, Sergei",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"COLELLA, Richard Phillip Jr.",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"NABER, John Phillips",Men,United States,Gold
